,aiddata_id,aiddata_2_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
66735,87132341,6774679,1974,Germany,India,22259616,32120,Industrial development
69072,88366715,6747473,1974,Japan,Korea,136522196,53030,Import support (capital goods)
66259,86881906,6450558,1974,United States,Colombia,18483853,32120,Industrial development
62568,84908554,6736819,1975,France,India,50728912,32120,Industrial development
69139,88401154,6737547,1975,France,Brazil,60080677,21030,Rail transport
66213,86858327,6726953,1975,Germany,India,10552956,32120,Industrial development
70117,88921273,6458727,1975,Germany,India,10552956,32120,Industrial development
69897,88814398,6724677,1975,Sweden,India,32169534,53030,Import support (capital goods)
62508,84879623,6726869,1975,Germany,India,16583217,32120,Industrial development
64531,85934951,6717935,1975,Canada,India,11841107,32220,Mineral/Metal prospection and exploration
68930,88291237,6460649,1975,Norway,India,2624502,32120,Industrial development
67482,87519819,6458016,1975,Germany,Colombia,15829434,21050,Air transport
64198,85758032,6728521,1975,Germany,India,45226955,53030,Import support (capital goods)
69023,88343807,6458685,1975,Germany,India,20352130,32120,Industrial development
69989,88864869,6728562,1975,Germany,India,135680866,53030,Import support (capital goods)
68051,87825576,6458393,1975,Germany,Colombia,13568087,23020,Power generation/non-renewable sources
68466,88039805,6727307,1975,Germany,Thailand,22613478,32120,Industrial development
68617,88119700,6458769,1975,Germany,Colombia,19598347,23020,Power generation/non-renewable sources
68227,87915519,6457558,1975,Germany,Korea,33166434,22020,Telecommunications
70118,88922170,6607885,1976,Germany,India,36325828,53030,Import support (capital goods)
70895,89329331,6594371,1976,Sweden,India,75451942,53030,Import support (capital goods)
70553,89143981,6607760,1976,Germany,India,21795497,32120,Industrial development
65293,86339939,6583939,1976,Canada,India,46994,32220,Mineral/Metal prospection and exploration
65062,86207095,6477436,1976,Germany,India,21795497,32120,Industrial development
65031,86194717,6605202,1976,Germany,Korea,29060662,32120,Industrial development
64646,85996899,6494182,1976,Japan,Korea,101087433,22020,Telecommunications
65955,86724926,6701811,1976,France,Colombia,11935741,32120,Industrial development
69362,88515285,6607235,1976,Norway,India,3312324,32120,Industrial development
64197,85757876,6477394,1976,Germany,India,14530331,32120,Industrial development
68765,88195338,6607802,1976,Germany,India,14530331,32120,Industrial development
67346,87445784,6583906,1976,Canada,India,180744,22020,Telecommunications
66633,87077692,6494220,1976,Japan,Korea,65859994,21030,Rail transport
66632,87077497,6472085,1976,France,India,59678703,32120,Industrial development
64110,85705390,6600224,1976,Netherlands,India,22193818,16010,Social/ welfare services
62279,84767209,6551879,1977,Germany,Colombia,5846265,32120,Industrial development
68045,87823119,6541829,1977,United Kingdom,India,74343353,53030,Import support (capital goods)
62074,84641293,6420230,1977,Japan,Brazil,387395,32120,Industrial development
63025,85140271,6420344,1977,Japan,Brazil,172175,32120,Industrial development
67102,87311837,6416968,1977,Japan,India,129131510,22020,Telecommunications
66556,87034080,6418787,1977,Japan,Brazil,5165260,32120,Industrial development
67343,87445277,6559947,1977,France,India,73139899,32120,Industrial development
62113,84664894,6544702,1977,Sweden,India,126971113,53030,Import support (capital goods)
64213,85763233,6548526,1977,Canada,India,2876486,22020,Telecommunications
65952,86722001,6557520,1977,Netherlands,India,20805943,32220,Mineral/Metal prospection and exploration
68228,87915597,6551837,1977,Germany,Colombia,11213167,32120,Industrial development
70617,89183596,6419205,1977,Japan,Brazil,39829897,32120,Industrial development
63784,85534087,6419015,1977,Japan,Brazil,24391507,32120,Industrial development
65075,86215831,6419167,1977,Japan,Brazil,41178604,32120,Industrial development
63901,85590979,6555361,1977,Germany,India,13035306,32120,Industrial development
68516,88063930,6517182,1977,Canada,Colombia,40609,32220,Mineral/Metal prospection and exploration
64596,85969762,6557251,1977,Germany,India,81295457,32120,Industrial development
62531,84890380,6503743,1977,Netherlands,India,704628,21050,Air transport
67929,87766566,6420116,1977,Japan,Brazil,2152192,32120,Industrial development
65174,86268488,6555235,1977,Germany,Brazil,42066194,32120,Industrial development
64770,86063776,5787668,1978,Netherlands,Chile,248958,16010,Social/ welfare services
64743,86048925,5836155,1978,Japan,Thailand,130032048,22020,Telecommunications
63466,85367875,5839074,1978,Japan,Korea,164598,32120,Industrial development
67775,87679973,5790516,1978,Netherlands,India,39517205,16010,Social/ welfare services
62541,84893851,5822902,1978,Canada,India,63509,32120,Industrial development
62191,84715484,5839036,1978,Japan,Korea,342912,32120,Industrial development
69869,88800553,5839112,1978,Japan,Korea,301762,32120,Industrial development
62996,85126504,5837554,1978,Japan,Brazil,2194634,32120,Industrial development
70878,89321726,5831628,1978,Japan,Thailand,411494,16010,Social/ welfare services
70776,89264734,5837896,1978,Japan,Brazil,3950341,32120,Industrial development
68458,88038089,5787733,1978,Netherlands,Chile,491331,16010,Social/ welfare services
68461,88038440,5790404,1978,Netherlands,India,7903441,32120,Industrial development
70518,89130155,5777226,1978,Germany,India,18691374,32120,Industrial development
68464,88039259,5835056,1978,Japan,Thailand,80241295,22020,Telecommunications
68640,88129239,5839150,1978,Japan,Brazil,1426512,32120,Industrial development
67807,87699512,5837364,1978,Japan,Brazil,23043654,32120,Industrial development
62983,85119507,5778518,1978,Germany,India,47084936,32120,Industrial development
67363,87453558,5792640,1978,Norway,India,139249465,16010,Social/ welfare services
65508,86473850,5924069,1979,Japan,Thailand,27913038,32120,Industrial development
66073,86782505,5925965,1979,Japan,Thailand,73420234,21050,Air transport
63316,85292872,5912175,1979,Canada,India,159410,21030,Rail transport
70137,88929083,5869760,1979,Germany,India,6490486,32120,Industrial development
62822,85040377,5868006,1979,Germany,India,12980971,32120,Industrial development
67500,87526691,5921093,1979,Japan,Thailand,13349133,16010,Social/ welfare services
64632,85988319,5884624,1979,Norway,India,80323793,32120,Industrial development
64626,85986600,5908340,1979,Canada,India,5797,32120,Industrial development
65367,86392937,5867381,1979,Germany,Thailand,57116273,21030,Rail transport
67373,87459369,5887788,1979,Sweden,India,225415063,53030,Import support (capital goods)
66240,86869070,5865458,1979,Germany,India,33750525,32220,Mineral/Metal prospection and exploration
62186,84712714,5877471,1979,Netherlands,Chile,113883,16010,Social/ welfare services
65391,86403952,5927142,1979,Japan,Saudi Arabia,12014220,32120,Industrial development
66239,86868445,5854131,1979,France,Thailand,15950433,32120,Industrial development
62060,84635871,5928314,1979,Japan,Brazil,2736572,32120,Industrial development
68494,88051294,5865496,1979,Germany,India,97357283,32120,Industrial development
70778,89265124,5884200,1979,Norway,India,8032379,32120,Industrial development
64066,85683298,5868341,1979,Germany,India,19471457,32120,Industrial development
63319,85295095,5926640,1979,Japan,Brazil,1548499,32120,Industrial development
70671,89207466,5927000,1979,Japan,Brazil,15938865,32120,Industrial development
66540,87025266,5877503,1979,Netherlands,Chile,175885,16010,Social/ welfare services
67201,87366409,5967373,1980,Germany,India,12389697,32120,Industrial development
64744,86049510,5970428,1980,Germany,Korea,9620600,32120,Industrial development
67889,87742209,5979722,1980,Netherlands,Thailand,839571,16010,Social/ welfare services
68491,88050592,6028923,1980,Japan,Brazil,3646269,32120,Industrial development
1098,3009710,,1980,United States,Thailand,10997457,21050,Air transport
1091,3009691,,1980,United States,Thailand,541284,22020,Telecommunications
66620,87069697,5966747,1980,Germany,India,123896972,32120,Industrial development
1143,3010164,,1980,United States,Brazil,7994706,32120,Industrial development
64339,85837307,6030773,1980,Japan,Thailand,113946,32120,Industrial development
529,3007928,,1980,United States,Brazil,1281949,32120,Industrial development
66930,87220213,6028620,1980,Japan,Thailand,200481471,21050,Air transport
66931,87221227,6028989,1980,Japan,Saudi Arabia,10634950,32120,Industrial development
64777,86067793,6026236,1980,Japan,India,34183768,22020,Telecommunications
1250,3011103,,1980,United States,Korea,4700478,32120,Industrial development
65939,86714045,6022524,1980,Japan,Thailand,24055244,16010,Social/ welfare services
66541,87025344,5947992,1980,France,Brazil,88426496,23030,Power generation/renewable sources
64882,86121060,5969593,1980,Germany,India,12389697,32120,Industrial development
1215,3010930,,1980,United States,Korea,10929680,32120,Industrial development
264,3003842,,1980,United States,Brazil,21776984,21030,Rail transport
263,3003841,,1980,United States,Brazil,34505784,32220,Mineral/Metal prospection and exploration
489,3007752,,1980,United States,Korea,3204872,32120,Industrial development
487,3007750,,1980,United States,Korea,1495607,32120,Industrial development
486,3007749,,1980,United States,Korea,1893329,32120,Industrial development
485,3007748,,1980,United States,Korea,1709265,32120,Industrial development
262,3003840,,1980,United States,Brazil,44838052,21050,Air transport
68502,88054726,5946454,1980,France,India,98033810,32120,Industrial development
261,3003839,,1980,United States,Brazil,4467591,32120,Industrial development
260,3003838,,1980,United States,Brazil,1840665,32120,Industrial development
66068,86778010,5968966,1980,Germany,India,6194849,32120,Industrial development
62821,85040182,5969008,1980,Germany,India,54514668,32120,Industrial development
202,3003558,,1980,United States,Colombia,39028214,32220,Mineral/Metal prospection and exploration
203,3003559,,1980,United States,Colombia,5128863,32120,Industrial development
767,3008554,,1980,United States,Saudi Arabia,41475311,32120,Industrial development
69051,88355015,5946064,1980,France,Brazil,22547776,32220,Mineral/Metal prospection and exploration
63469,85369201,6030013,1980,Japan,Brazil,544408,16010,Social/ welfare services
356,3004306,,1980,United States,Poland,6221605,32120,Industrial development
357,3004307,,1980,United States,Poland,9429373,22020,Telecommunications
66722,87129883,10404459,1980,United Kingdom,Thailand,4126815,32120,Industrial development
62234,84742518,5978104,1980,Netherlands,Chile,1115430,16010,Social/ welfare services
68917,88284256,5998090,1980,United Kingdom,India,53684396,32220,Mineral/Metal prospection and exploration
64618,85980939,6030621,1980,Japan,Thailand,341838,32120,Industrial development
380,3004351,,1980,United States,Korea,1196452145,23020,Power generation/non-renewable sources
382,3004353,,1980,United States,Korea,8665023,32120,Industrial development
383,3004354,,1980,United States,Korea,468955798,22020,Telecommunications
956,3009256,,1980,United States,Thailand,16024358,32120,Industrial development
960,3009260,,1980,United States,Thailand,1243490,32120,Industrial development
381,3004352,,1980,United States,Korea,169796706,23020,Power generation/non-renewable sources
68246,87921623,6029055,1980,Japan,Brazil,1012852,32120,Industrial development
391,3004372,,1980,United States,Saudi Arabia,8688763,32220,Mineral/Metal prospection and exploration
69735,88722236,5977715,1980,Norway,India,11853784,32120,Industrial development
66248,86874534,6003023,1980,Canada,India,21686515,23030,Power generation/renewable sources
63900,85590316,5967124,1980,Germany,India,43363940,32120,Industrial development
446,3004526,,1980,United States,Thailand,40060894,32220,Mineral/Metal prospection and exploration
1001,3009386,,1980,United States,India,83089263,21050,Air transport
1047,3009537,,1981,United States,Brazil,75730740,21050,Air transport
169,3003424,,1981,United States,India,21162932,32120,Industrial development
830,3008893,,1981,United States,Saudi Arabia,52561778,23020,Power generation/non-renewable sources
63159,85213502,6094469,1981,Norway,India,188593,32120,Industrial development
1244,3011087,,1981,United States,Colombia,29369375,32120,Industrial development
1255,3011109,,1981,United States,Brazil,9665448,32120,Industrial development
65505,86473226,6084141,1981,Netherlands,India,17069196,32120,Industrial development
736,3008484,,1981,United States,Korea,5440502,32120,Industrial development
737,3008485,,1981,United States,Korea,16542185,32120,Industrial development
64214,85763857,6053929,1981,France,Brazil,34546021,23030,Power generation/renewable sources
738,3008486,,1981,United States,Korea,6900201,22020,Telecommunications
66545,87029244,6094502,1981,Norway,India,1257288,32120,Industrial development
1233,3011047,,1981,United States,Saudi Arabia,33209525,32120,Industrial development
968,3009284,,1981,United States,India,50736774,32220,Mineral/Metal prospection and exploration
62433,84843982,6074734,1981,Germany,Thailand,11882572,32120,Industrial development
1133,3009911,,1981,United States,Korea,818995,32120,Industrial development
168,3003423,,1981,United States,India,31405792,21030,Rail transport
65397,86408866,6144725,1981,United States,Chile,386359,16010,Social/ welfare services
65202,86282349,6090976,1981,Netherlands,Chile,228727,16010,Social/ welfare services
70883,89324261,6094437,1981,Norway,India,10058301,32120,Industrial development
666,3008401,,1981,United States,Thailand,2373504,32120,Industrial development
62109,84662593,6052939,1981,France,Brazil,20200640,22020,Telecommunications
63326,85299307,6162099,1981,Japan,Korea,294444,32120,Industrial development
1128,3009860,,1981,United States,Korea,6436787,32120,Industrial development
62107,84661969,6105804,1981,Sweden,India,224755,32120,Industrial development
1169,3010350,,1981,United States,Saudi Arabia,1892394,32120,Industrial development
963,3009263,,1981,United States,Thailand,217055717,32220,Mineral/Metal prospection and exploration
1016,3009420,,1981,United States,Colombia,34583487,23030,Power generation/renewable sources
170,3003425,,1981,United States,India,50736774,32220,Mineral/Metal prospection and exploration
62862,85060600,6159748,1981,Japan,India,245369884,32120,Industrial development
63881,85584922,6160012,1981,Japan,India,115323846,22020,Telecommunications
68925,88286830,6158267,1981,Japan,India,49073977,23030,Power generation/renewable sources
67607,87593110,6121090,1981,Canada,Brazil,143623,32120,Industrial development
64225,85774194,6085826,1981,Netherlands,Brazil,29587,16010,Social/ welfare services
67517,87536441,6126718,1981,Canada,India,235448,32220,Mineral/Metal prospection and exploration
384,3004355,,1981,United States,Korea,547957158,22020,Telecommunications
385,3004356,,1981,United States,Korea,12697759,32120,Industrial development
386,3004357,,1981,United States,Korea,40372580,32120,Industrial development
64099,85698760,6158608,1981,Japan,Thailand,101828502,21030,Rail transport
67204,87366760,6073187,1981,Germany,India,17823858,32120,Industrial development
265,3003843,,1981,United States,Brazil,2051177,32120,Industrial development
267,3003845,,1981,United States,Brazil,59039155,32220,Mineral/Metal prospection and exploration
63918,85598224,6158950,1981,Japan,India,17421262,23020,Power generation/non-renewable sources
68920,88285114,6090847,1981,Netherlands,Colombia,398281,32120,Industrial development
269,3003847,,1981,United States,Brazil,38744446,32220,Mineral/Metal prospection and exploration
268,3003846,,1981,United States,Brazil,66744633,32220,Mineral/Metal prospection and exploration
204,3003560,,1981,United States,Colombia,33974646,23020,Power generation/non-renewable sources
69021,88343495,6076034,1981,Germany,Korea,3564772,32120,Industrial development
67242,87386632,6162213,1981,Japan,Korea,233101,32120,Industrial development
69026,88344236,6073522,1981,Germany,India,29706431,32120,Industrial development
66253,86877733,6159974,1981,Japan,India,61342471,22020,Telecommunications
66210,86856219,6127267,1981,Canada,India,122432763,23030,Power generation/renewable sources
70764,89257509,6073606,1981,Germany,India,209133272,23020,Power generation/non-renewable sources
528,3007911,,1981,United States,Korea,17887735,32120,Industrial development
70261,88998493,6094404,1981,Norway,India,817237,32120,Industrial development
69120,88390975,6127600,1981,Canada,India,105951430,32220,Mineral/Metal prospection and exploration
527,3007910,,1981,United States,Korea,9376807,32120,Industrial development
447,3004527,,1981,United States,Thailand,8324087,23020,Power generation/non-renewable sources
64098,85697239,6053174,1981,France,Brazil,28788351,21030,Rail transport
271,3003849,,1981,United States,Brazil,4232586,23020,Power generation/non-renewable sources
270,3003848,,1981,United States,Brazil,51355383,32220,Mineral/Metal prospection and exploration
65205,86284845,6254309,1982,United Kingdom,India,69587019,23020,Power generation/non-renewable sources
63308,85285967,6268497,1982,Canada,Thailand,307283,32120,Industrial development
63330,85301608,6301797,1982,Japan,India,32375332,21030,Rail transport
69357,88509786,6205040,1982,Germany,Brazil,20867396,32120,Industrial development
64100,85699540,6220605,1982,Netherlands,Colombia,75575,32120,Industrial development
978,3009322,,1982,United States,Korea,15956957,32120,Industrial development
272,3003850,,1982,United States,Brazil,37058396,21050,Air transport
63434,85355946,6207549,1982,Germany,India,22681952,32120,Industrial development
208,3003564,,1982,United States,Colombia,997309800,32220,Mineral/Metal prospection and exploration
209,3003565,,1982,United States,Colombia,14218978,32120,Industrial development
69060,88359617,6238130,1982,Sweden,India,51973982,53030,Import support (capital goods)
818,3008850,,1982,United States,India,1822775,32120,Industrial development
819,3008851,,1982,United States,India,920594,32120,Industrial development
820,3008852,,1982,United States,India,2945900,32120,Industrial development
69122,88392613,6227816,1982,Norway,India,2958533,22020,Telecommunications
69123,88392652,6227849,1982,Norway,India,3755062,32120,Industrial development
64101,85699774,6238162,1982,Sweden,India,39500227,53030,Import support (capital goods)
66392,86954849,6273324,1982,United States,Thailand,10228818,53030,Import support (capital goods)
864,3008946,,1982,United States,Saudi Arabia,1488373,23020,Power generation/non-renewable sources
865,3008947,,1982,United States,Saudi Arabia,1636963,23020,Power generation/non-renewable sources
866,3008948,,1982,United States,Saudi Arabia,10483598,23020,Power generation/non-renewable sources
868,3008950,,1982,United States,Saudi Arabia,3247854,32120,Industrial development
870,3008952,,1982,United States,Saudi Arabia,18899665,32120,Industrial development
62204,84724029,6184855,1982,France,India,87046072,22020,Telecommunications
207,3003563,,1982,United States,Colombia,38358069,32120,Industrial development
62216,84731129,6297352,1982,Japan,Thailand,543616,16010,Social/ welfare services
862,3008944,,1982,United States,Saudi Arabia,1336702,32220,Mineral/Metal prospection and exploration
65058,86205535,6206294,1982,Germany,India,17011464,32120,Industrial development
65525,86483756,6301873,1982,Japan,India,72482087,22020,Telecommunications
69743,88727111,6258079,1982,Canada,India,173117,23030,Power generation/renewable sources
274,3003852,,1982,United States,Brazil,58508842,32220,Mineral/Metal prospection and exploration
70574,89155183,6218351,1982,Netherlands,Chile,380037,16010,Social/ welfare services
70575,89155261,6230278,1982,Norway,Thailand,45516,16010,Social/ welfare services
1230,3011037,,1982,United States,Korea,104207520,21030,Rail transport
66553,87032520,6301835,1982,Japan,India,21744626,21030,Rail transport
1234,3011048,,1982,United States,Saudi Arabia,3068646,22020,Telecommunications
70688,89215305,6302437,1982,Japan,Thailand,181205217,32120,Industrial development
70784,89268517,6267473,1982,Canada,Chile,908866,16010,Social/ welfare services
70786,89268829,6283755,1982,United States,Thailand,204576,23030,Power generation/renewable sources
64104,85700164,6265073,1982,Canada,Colombia,196921,32120,Industrial development
71011,89391668,6254276,1982,United Kingdom,India,135080685,23020,Power generation/non-renewable sources
70984,89376223,6303637,1982,Japan,Brazil,23351312,32120,Industrial development
62869,85061926,6271028,1982,United States,Thailand,16366110,23030,Power generation/renewable sources
62868,85061770,6254408,1982,United Kingdom,Brazil,98608165,23020,Power generation/non-renewable sources
273,3003851,,1982,United States,Brazil,59122571,32220,Mineral/Metal prospection and exploration
742,3008527,,1982,United States,Korea,2517517,22020,Telecommunications
62866,85060873,6183897,1982,France,Brazil,9575068,21030,Rail transport
1209,3010830,,1982,United States,Brazil,56500925,22020,Telecommunications
205,3003561,,1982,United States,Colombia,24864826,32120,Industrial development
70548,89143045,10405119,1982,United Kingdom,Thailand,61417196,32120,Industrial development
1192,3010500,,1982,United States,India,5339443,32120,Industrial development
69885,88807417,6305117,1982,Japan,Thailand,1123472,32120,Industrial development
68277,87942841,6218745,1982,Netherlands,Thailand,102567,16010,Social/ welfare services
68063,87830462,6303604,1982,Japan,Saudi Arabia,14653462,32120,Industrial development
65643,86546486,6183587,1982,France,Thailand,11313378,21030,Rail transport
65644,86546525,6183936,1982,France,Brazil,10445529,21030,Rail transport
64102,85700008,6258280,1982,Canada,India,216397,32220,Mineral/Metal prospection and exploration
62679,84958600,6205291,1982,Germany,India,28352440,32120,Industrial development
65656,86555690,6222190,1982,Netherlands,Chile,187859,16010,Social/ welfare services
65657,86556041,6242850,1982,Sweden,India,2078959,53030,Import support (capital goods)
66104,86799748,6228077,1982,Norway,India,22757949,16010,Social/ welfare services
1113,3009751,,1982,United States,Saudi Arabia,3273222,32120,Industrial development
68067,87833504,6303703,1982,Japan,Saudi Arabia,8444163,32120,Industrial development
62700,84965098,6293728,1982,Japan,India,3624104,32120,Industrial development
64347,85839340,6301987,1982,Japan,Thailand,172024153,21050,Air transport
68098,87852185,6267505,1982,Canada,Chile,551812,16010,Social/ welfare services
68100,87852887,6296891,1982,Japan,Thailand,5677763,16010,Social/ welfare services
70303,89016290,6183703,1982,France,India,54403795,32120,Industrial development
64375,85852132,6263019,1982,Canada,Colombia,454433,16010,Social/ welfare services
741,3008489,,1982,United States,Korea,460297,32120,Industrial development
1026,3009496,,1982,United States,Korea,3314137,32120,Industrial development
739,3008487,,1982,United States,Korea,22225177,32120,Industrial development
450,3004530,,1982,United States,Thailand,5584935,32120,Industrial development
63769,85523399,6045599,1982,Canada,India,4193769,23030,Power generation/renewable sources
64757,86054995,6302177,1982,Japan,Thailand,112709645,21030,Rail transport
132,3003350,,1982,United States,India,16877550,32120,Industrial development
67626,87603251,6261258,1982,Canada,Chile,149314,32120,Industrial development
62055,84633178,6204713,1982,Germany,India,18032152,32120,Industrial development
740,3008488,,1982,United States,Korea,4807545,32120,Industrial development
449,3004529,,1982,United States,Thailand,13460921,32120,Industrial development
63611,85441106,6305155,1982,Japan,Korea,422812,32120,Industrial development
64915,86138908,6303868,1982,Japan,Saudi Arabia,4590532,32120,Industrial development
668,3008404,,1982,United States,Thailand,425683,32120,Industrial development
667,3008402,,1982,United States,Thailand,25288708,32120,Industrial development
66772,87149043,6267377,1982,Canada,Chile,315939,32120,Industrial development
66908,87215439,6205710,1982,Germany,India,272183421,23020,Power generation/non-renewable sources
67927,87764928,6303835,1982,Japan,Saudi Arabia,45989884,32120,Industrial development
62127,84676048,6183626,1982,France,India,93574528,32120,Industrial development
64907,86137231,6219923,1982,Netherlands,India,9716846,53030,Import support (capital goods)
448,3004528,,1982,United States,Thailand,30839888,32120,Industrial development
66753,87137187,6203917,1982,Germany,India,65777660,23020,Power generation/non-renewable sources
98,3003207,,1982,United States,Colombia,9091619,23020,Power generation/non-renewable sources
68784,88204994,6345426,1983,France,India,96214036,32120,Industrial development
1226,3011031,,1983,United States,Saudi Arabia,2798411,32120,Industrial development
62564,84906292,6619670,1983,Canada,Colombia,200548,16010,Social/ welfare services
70680,89212380,6396179,1983,Sweden,India,118484,16010,Social/ welfare services
874,3008956,,1983,United States,Saudi Arabia,4233552,16010,Social/ welfare services
876,3008958,,1983,United States,Saudi Arabia,34653072,23020,Power generation/non-renewable sources
878,3008960,,1983,United States,Saudi Arabia,33430390,22020,Telecommunications
879,3008961,,1983,United States,Saudi Arabia,6813581,23020,Power generation/non-renewable sources
1178,3010401,,1983,United States,Thailand,437398,32120,Industrial development
63022,85139569,6372252,1983,Germany,India,1647572,32220,Mineral/Metal prospection and exploration
64379,85853224,6343312,1983,France,Colombia,33327748,22020,Telecommunications
68285,87949315,6665831,1983,Japan,Thailand,119709,32120,Industrial development
275,3003853,,1983,United States,Brazil,57611263,32220,Mineral/Metal prospection and exploration
70766,89257587,6370460,1983,Germany,India,16475720,32120,Industrial development
68284,87949276,6662027,1983,Japan,India,25138897,32220,Mineral/Metal prospection and exploration
211,3003567,,1983,United States,Colombia,4208638,32120,Industrial development
533,3007932,,1983,United States,Brazil,885573,32120,Industrial development
62229,84738696,6643537,1983,United States,Thailand,6887792,32120,Industrial development
62231,84739203,6658103,1983,Japan,Colombia,395040,16010,Social/ welfare services
71006,89388626,6663695,1983,Japan,Thailand,153227563,21030,Rail transport
669,3008405,,1983,United States,Thailand,9220707,32120,Industrial development
1258,3011118,,1983,United States,India,2391048,32120,Industrial development
68226,87915402,6368330,1983,Germany,Korea,16475720,32120,Industrial development
1207,3010816,,1983,United States,India,12663697,32120,Industrial development
63646,85460302,6623692,1983,Canada,Brazil,669177,32120,Industrial development
66555,87033495,6378274,1983,Italy,India,33513460,32120,Industrial development
67349,87446759,6370127,1983,Germany,India,27459533,53030,Import support (capital goods)
66064,86777074,6413609,1983,United Kingdom,India,116418320,21030,Rail transport
747,3008533,,1983,United States,Korea,10611234,22020,Telecommunications
64111,85705819,6634056,1983,United States,Thailand,9839703,53030,Import support (capital goods)
66115,86805247,6619208,1983,Canada,Colombia,2455694,32120,Industrial development
66642,87080578,6662103,1983,Japan,India,23941807,23030,Power generation/renewable sources
67919,87759663,6414199,1983,United Kingdom,India,58325578,32220,Mineral/Metal prospection and exploration
63174,85222160,6621527,1983,Canada,Thailand,716244,32120,Industrial development
821,3008853,,1983,United States,India,88557,32120,Industrial development
822,3008854,,1983,United States,India,688779,32220,Mineral/Metal prospection and exploration
68081,87842045,6336667,1983,Sweden,India,1132016,23030,Power generation/renewable sources
63463,85366390,6367965,1983,Germany,India,170249106,23020,Power generation/non-renewable sources
64644,85995651,6413741,1983,United Kingdom,India,58209160,32220,Mineral/Metal prospection and exploration
68664,88146204,6662065,1983,Japan,India,57460336,21030,Rail transport
743,3008528,,1983,United States,Korea,2595222,22020,Telecommunications
1092,3009692,,1983,United States,Thailand,236153,32120,Industrial development
62676,84958444,6370168,1983,Germany,Thailand,19441349,21030,Rail transport
63482,85378015,6621922,1983,Canada,Thailand,306962,32120,Industrial development
66112,86802283,6391845,1983,Netherlands,India,15861593,21030,Rail transport
62266,84758705,6368144,1983,Germany,India,2636115,32120,Industrial development
745,3008531,,1983,United States,Korea,39664826,32120,Industrial development
64065,85683259,6413675,1983,United Kingdom,India,120298930,32220,Mineral/Metal prospection and exploration
746,3008532,,1983,United States,Korea,10348022,32120,Industrial development
65666,86562437,6663658,1983,Japan,Thailand,49320122,53030,Import support (capital goods)
68065,87831476,6654015,1983,Japan,India,17956355,32120,Industrial development
69351,88504209,6367692,1983,Germany,India,4393525,32120,Industrial development
67093,87307742,6414166,1983,United Kingdom,India,58325578,32220,Mineral/Metal prospection and exploration
67249,87392599,6631347,1983,United States,India,19679406,16010,Social/ welfare services
64393,85862859,6956041,1984,Japan,Thailand,75312667,21030,Rail transport
63175,85223369,6802451,1984,France,Thailand,16708469,21030,Rail transport
